track.name,track.external_urls.spotify,track.href,track.id,track.popularity
Main Title,https://open.spotify.com/track/3ZSf1TJZyRb0rnWYuUtdX4,https://api.spotify.com/v1/tracks/3ZSf1TJZyRb0rnWYuUtdX4,3ZSf1TJZyRb0rnWYuUtdX4,45
Imperial Attack,https://open.spotify.com/track/3KVsq9veMUESIb3ln7Rowv,https://api.spotify.com/v1/tracks/3KVsq9veMUESIb3ln7Rowv,3KVsq9veMUESIb3ln7Rowv,39
Princess Leia's Theme,https://open.spotify.com/track/7hlYfQpGJWdheP2quiyz8j,https://api.spotify.com/v1/tracks/7hlYfQpGJWdheP2quiyz8j,7hlYfQpGJWdheP2quiyz8j,40
The Desert and the Robot Auction,https://open.spotify.com/track/6I50fU69S2yz4yc96r55s2,https://api.spotify.com/v1/tracks/6I50fU69S2yz4yc96r55s2,6I50fU69S2yz4yc96r55s2,36
Ben's Death and TIE Fighter Attack,https://open.spotify.com/track/4bCeqjpV9iyqM3UFJuTJf3,https://api.spotify.com/v1/tracks/4bCeqjpV9iyqM3UFJuTJf3,4bCeqjpV9iyqM3UFJuTJf3,36
The Little People Work,https://open.spotify.com/track/2FMeboz4OrxtJz49sJsg4d,https://api.spotify.com/v1/tracks/2FMeboz4OrxtJz49sJsg4d,2FMeboz4OrxtJz49sJsg4d,32
Rescue of the Princess,https://open.spotify.com/track/15VDap1Kj0FjLe1VWADhW2,https://api.spotify.com/v1/tracks/15VDap1Kj0FjLe1VWADhW2,15VDap1Kj0FjLe1VWADhW2,32
Inner City,https://open.spotify.com/track/2FNM1hkj22dtos4SmRsjND,https://api.spotify.com/v1/tracks/2FNM1hkj22dtos4SmRsjND,2FNM1hkj22dtos4SmRsjND,32
Cantina Band,https://open.spotify.com/track/5ZSAdkQb23NPIcUGt6exdm,https://api.spotify.com/v1/tracks/5ZSAdkQb23NPIcUGt6exdm,5ZSAdkQb23NPIcUGt6exdm,49
The Land of the Sand People,https://open.spotify.com/track/21n9uPZmtIKoWnuzliKwgk,https://api.spotify.com/v1/tracks/21n9uPZmtIKoWnuzliKwgk,21n9uPZmtIKoWnuzliKwgk,32
Mouse Robot and Blasting Off,https://open.spotify.com/track/2Xu7MPDIsDobH3czJMAhZM,https://api.spotify.com/v1/tracks/2Xu7MPDIsDobH3czJMAhZM,2Xu7MPDIsDobH3czJMAhZM,31
The Return Home,https://open.spotify.com/track/2QWIR3HjVDjP65EmfYKzBt,https://api.spotify.com/v1/tracks/2QWIR3HjVDjP65EmfYKzBt,2QWIR3HjVDjP65EmfYKzBt,32
The Walls Converge,https://open.spotify.com/track/2Nh7tGG4fQcEvKd824PNg7,https://api.spotify.com/v1/tracks/2Nh7tGG4fQcEvKd824PNg7,2Nh7tGG4fQcEvKd824PNg7,30
The Princess Appears,https://open.spotify.com/track/0mcjp7typ1CcpSiycHZT2E,https://api.spotify.com/v1/tracks/0mcjp7typ1CcpSiycHZT2E,0mcjp7typ1CcpSiycHZT2E,33
