danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.243,0.417,0,-11.73,1,0.0392,0.684,0.912,0.13,0.175,99.805,audio_features,3ZSf1TJZyRb0rnWYuUtdX4,spotify:track:3ZSf1TJZyRb0rnWYuUtdX4,https://api.spotify.com/v1/tracks/3ZSf1TJZyRb0rnWYuUtdX4,https://api.spotify.com/v1/audio-analysis/3ZSf1TJZyRb0rnWYuUtdX4,324227,4
0.168,0.181,4,-15.593,1,0.0358,0.888,0.888,0.0798,0.0377,81.695,audio_features,3KVsq9veMUESIb3ln7Rowv,spotify:track:3KVsq9veMUESIb3ln7Rowv,https://api.spotify.com/v1/tracks/3KVsq9veMUESIb3ln7Rowv,https://api.spotify.com/v1/audio-analysis/3KVsq9veMUESIb3ln7Rowv,378320,4
0.0784,0.0649,5,-18.985,1,0.0425,0.857,0.951,0.0712,0.0308,73.13,audio_features,7hlYfQpGJWdheP2quiyz8j,spotify:track:7hlYfQpGJWdheP2quiyz8j,https://api.spotify.com/v1/tracks/7hlYfQpGJWdheP2quiyz8j,https://api.spotify.com/v1/audio-analysis/7hlYfQpGJWdheP2quiyz8j,263227,3
0.271,0.0329,1,-24.583,1,0.0372,0.817,0.871,0.0775,0.054,118.569,audio_features,6I50fU69S2yz4yc96r55s2,spotify:track:6I50fU69S2yz4yc96r55s2,https://api.spotify.com/v1/tracks/6I50fU69S2yz4yc96r55s2,https://api.spotify.com/v1/audio-analysis/6I50fU69S2yz4yc96r55s2,172320,4
0.346,0.322,2,-13.737,0,0.0449,0.759,0.93,0.0931,0.0976,73.897,audio_features,4bCeqjpV9iyqM3UFJuTJf3,spotify:track:4bCeqjpV9iyqM3UFJuTJf3,https://api.spotify.com/v1/tracks/4bCeqjpV9iyqM3UFJuTJf3,https://api.spotify.com/v1/audio-analysis/4bCeqjpV9iyqM3UFJuTJf3,233760,5
0.449,0.0534,7,-24.646,1,0.0332,0.896,0.518,0.216,0.0584,115.118,audio_features,2FMeboz4OrxtJz49sJsg4d,spotify:track:2FMeboz4OrxtJz49sJsg4d,https://api.spotify.com/v1/tracks/2FMeboz4OrxtJz49sJsg4d,https://api.spotify.com/v1/audio-analysis/2FMeboz4OrxtJz49sJsg4d,248333,4
0.29,0.361,4,-14.791,0,0.0422,0.798,0.765,0.116,0.139,136.566,audio_features,15VDap1Kj0FjLe1VWADhW2,spotify:track:15VDap1Kj0FjLe1VWADhW2,https://api.spotify.com/v1/tracks/15VDap1Kj0FjLe1VWADhW2,https://api.spotify.com/v1/audio-analysis/15VDap1Kj0FjLe1VWADhW2,287507,4
0.223,0.0757,5,-18.807,1,0.0366,0.849,0.9,0.13,0.0398,104.036,audio_features,2FNM1hkj22dtos4SmRsjND,spotify:track:2FNM1hkj22dtos4SmRsjND,https://api.spotify.com/v1/tracks/2FNM1hkj22dtos4SmRsjND,https://api.spotify.com/v1/audio-analysis/2FNM1hkj22dtos4SmRsjND,254533,3
0.699,0.419,0,-15.133,1,0.134,0.255,0.0239,0.0471,0.822,131.629,audio_features,5ZSAdkQb23NPIcUGt6exdm,spotify:track:5ZSAdkQb23NPIcUGt6exdm,https://api.spotify.com/v1/tracks/5ZSAdkQb23NPIcUGt6exdm,https://api.spotify.com/v1/audio-analysis/5ZSAdkQb23NPIcUGt6exdm,164307,4
0.299,0.173,2,-18.186,0,0.0522,0.898,0.616,0.123,0.0381,148.621,audio_features,21n9uPZmtIKoWnuzliKwgk,spotify:track:21n9uPZmtIKoWnuzliKwgk,https://api.spotify.com/v1/tracks/21n9uPZmtIKoWnuzliKwgk,https://api.spotify.com/v1/audio-analysis/21n9uPZmtIKoWnuzliKwgk,175787,4
